% Model,attempt7 - 45deg ate 600 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:41"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
4.249999999999999E2,1.750000000000000E2,6.330000000000000E-1,2.387129030466319E20
4.249999999999999E2,2.000000000000000E2,6.330000000000000E-1,1.317482928105795E20
4.249999999999999E2,2.250000000000000E2,6.330000000000000E-1,3.611264314375352E20
4.249999999999999E2,2.500000000000000E2,6.330000000000000E-1,1.854334692618067E18
4.249999999999999E2,2.750000000000000E2,6.330000000000000E-1,1.630855055263932E19
4.249999999999999E2,3.000000000000000E2,6.330000000000000E-1,1.270464501746513E21
4.249999999999999E2,3.250000000000000E2,6.330000000000000E-1,3.667769467945275E19
4.249999999999999E2,3.500000000000000E2,6.330000000000000E-1,1.723196818954339E20
4.249999999999999E2,3.749999999999999E2,6.330000000000000E-1,6.951568007999093E19
4.249999999999999E2,4.000000000000000E2,6.330000000000000E-1,1.975516540440698E20
4.249999999999999E2,4.249999999999999E2,6.330000000000000E-1,8.371562629674526E20
4.249999999999999E2,4.500000000000000E2,6.330000000000000E-1,2.824471593447245E21
4.249999999999999E2,4.749999999999999E2,6.330000000000000E-1,8.256961964954300E19
4.249999999999999E2,5.000000000000000E2,6.330000000000000E-1,1.253261226903701E19
4.249999999999999E2,5.250000000000000E2,6.330000000000000E-1,1.998565587314035E18
4.249999999999999E2,5.500000000000000E2,6.330000000000000E-1,1.966970335536566E19
4.249999999999999E2,5.749999999999999E2,6.330000000000000E-1,2.372179597495466E20
4.249999999999999E2,6.000000000000000E2,6.330000000000000E-1,1.739944197781642E22
4.249999999999999E2,6.250000000000000E2,6.330000000000000E-1,6.328729995063031E18
4.249999999999999E2,6.500000000000000E2,6.330000000000000E-1,9.548629057237484E18
4.249999999999999E2,6.749999999999999E2,6.330000000000000E-1,1.178806549918042E20
4.249999999999999E2,7.000000000000000E2,6.330000000000000E-1,1.036682273630643E21
4.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,7.448940757408326E19
4.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,5.822651588817303E19
4.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,6.059625626083472E19
4.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,7.372396694757224E19
4.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,9.228507564779792E19
4.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,1.248047756159725E20
4.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,1.403818401531436E20
4.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,9.813488087729234E19
4.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,2.318544096071459E20
4.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,5.370928999292736E18
4.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,9.095094645227371E19
4.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,4.728116831618374E19
4.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,4.722910111643860E20
4.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,9.728625719893254E19
4.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,7.613618759968211E19
4.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,2.989343812053488E20
4.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.604308159307315E21
4.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,1.632858856736231E21
4.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.917983481740157E19
4.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,5.216751293045721E18
4.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.583676195724019E18
4.500000000000000E2,5.250000000000000E2,6.330000000000000E-1,3.112983980991116E19
4.500000000000000E2,5.500000000000000E2,6.330000000000000E-1,8.404887666721619E21
4.500000000000000E2,5.749999999999999E2,6.330000000000000E-1,1.093680830706116E19
4.500000000000000E2,6.000000000000000E2,6.330000000000000E-1,1.037326308068643E19
4.500000000000000E2,6.250000000000000E2,6.330000000000000E-1,4.573502251778171E19
4.500000000000000E2,6.500000000000000E2,6.330000000000000E-1,2.088242031178236E21
4.500000000000000E2,6.749999999999999E2,6.330000000000000E-1,1.010326371079601E20
4.500000000000000E2,7.000000000000000E2,6.330000000000000E-1,5.137222572479737E18
4.749999999999999E2,0.000000000000000E0,6.330000000000000E-1,7.036047735290428E19
4.749999999999999E2,2.500000000000000E1,6.330000000000000E-1,5.303001191677842E19
4.749999999999999E2,5.000000000000000E1,6.330000000000000E-1,5.521397367076818E19
4.749999999999999E2,7.500000000000000E1,6.330000000000000E-1,6.228230881077697E19
4.749999999999999E2,1.000000000000000E2,6.330000000000000E-1,8.024124296529900E19
4.749999999999999E2,1.250000000000000E2,6.330000000000000E-1,8.935702302190636E19
4.749999999999999E2,1.500000000000000E2,6.330000000000000E-1,8.394487540747647E19
4.749999999999999E2,1.750000000000000E2,6.330000000000000E-1,1.396374461563309E20
4.749999999999999E2,2.000000000000000E2,6.330000000000000E-1,2.139836899701669E19
4.749999999999999E2,2.250000000000000E2,6.330000000000000E-1,3.226448764970642E20
4.749999999999999E2,2.500000000000000E2,6.330000000000000E-1,1.595001426876472E20
4.749999999999999E2,2.750000000000000E2,6.330000000000000E-1,1.174659468618590E21
4.749999999999999E2,3.000000000000000E2,6.330000000000000E-1,5.905155649256910E19
