% Model,attempt7 - 45deg ate 300 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:40"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
2.250000000000000E2,1.250000000000000E2,6.330000000000000E-1,8.242533842536478E18
2.250000000000000E2,1.500000000000000E2,6.330000000000000E-1,7.917765982981647E18
2.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,8.227444238100320E18
2.250000000000000E2,2.000000000000000E2,6.330000000000000E-1,8.445592712208897E18
2.250000000000000E2,2.250000000000000E2,6.330000000000000E-1,8.440036726875969E18
2.250000000000000E2,2.500000000000000E2,6.330000000000000E-1,9.307728915257684E18
2.250000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.014866596644813E19
2.250000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.108500760227167E19
2.250000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.236608177189311E19
2.250000000000000E2,3.500000000000000E2,6.330000000000000E-1,1.426385329557962E19
2.250000000000000E2,3.749999999999999E2,6.330000000000000E-1,2.222470187146283E19
2.250000000000000E2,4.000000000000000E2,6.330000000000000E-1,2.433621212116907E20
2.250000000000000E2,4.249999999999999E2,6.330000000000000E-1,1.648826892808694E18
2.250000000000000E2,4.500000000000000E2,6.330000000000000E-1,9.904648376464968E18
2.250000000000000E2,4.749999999999999E2,6.330000000000000E-1,5.174785766352793E18
2.250000000000000E2,5.000000000000000E2,6.330000000000000E-1,6.251599239795143E18
2.250000000000000E2,5.250000000000000E2,6.330000000000000E-1,6.858183152196698E18
2.250000000000000E2,5.500000000000000E2,6.330000000000000E-1,7.977609341405921E18
2.250000000000000E2,5.749999999999999E2,6.330000000000000E-1,7.659061750491652E18
2.250000000000000E2,6.000000000000000E2,6.330000000000000E-1,8.861851952130349E18
2.250000000000000E2,6.250000000000000E2,6.330000000000000E-1,1.484415544317369E19
2.250000000000000E2,6.500000000000000E2,6.330000000000000E-1,7.552181227198823E19
2.250000000000000E2,6.749999999999999E2,6.330000000000000E-1,1.996698511934973E18
2.250000000000000E2,7.000000000000000E2,6.330000000000000E-1,3.244583383199435E18
2.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,1.869509500209803E19
2.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,1.344909377606790E19
2.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,1.295986909554022E19
2.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,1.333308230606901E19
2.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,1.334679430708090E19
2.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,1.503083998839694E19
2.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,1.576016736001817E19
2.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.663611799028059E19
2.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.797061833268557E19
2.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.808558425312794E19
2.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.996054051574523E19
2.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.193550836959369E19
2.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,2.867643998357713E19
2.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,4.059425916146447E19
2.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,8.570185618411142E19
2.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.053661380787799E21
2.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.077856095192352E18
2.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,7.101265583560137E18
2.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,7.715325867351247E18
2.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,9.464822524814164E18
2.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.302986958427142E19
2.500000000000000E2,5.250000000000000E2,6.330000000000000E-1,1.462386943749946E19
2.500000000000000E2,5.500000000000000E2,6.330000000000000E-1,1.805646438584359E19
2.500000000000000E2,5.749999999999999E2,6.330000000000000E-1,2.509221453281038E19
2.500000000000000E2,6.000000000000000E2,6.330000000000000E-1,6.295987525987490E19
2.500000000000000E2,6.250000000000000E2,6.330000000000000E-1,1.880597077676237E20
2.500000000000000E2,6.500000000000000E2,6.330000000000000E-1,1.520093413027353E18
2.500000000000000E2,6.749999999999999E2,6.330000000000000E-1,3.566194288265532E18
2.500000000000000E2,7.000000000000000E2,6.330000000000000E-1,6.486409888721801E18
2.750000000000000E2,0.000000000000000E0,6.330000000000000E-1,3.371450342045384E19
2.750000000000000E2,2.500000000000000E1,6.330000000000000E-1,2.274412449320116E19
2.750000000000000E2,5.000000000000000E1,6.330000000000000E-1,2.321716847045453E19
2.750000000000000E2,7.500000000000000E1,6.330000000000000E-1,2.450136951232197E19
2.750000000000000E2,1.000000000000000E2,6.330000000000000E-1,2.578707372741892E19
2.750000000000000E2,1.250000000000000E2,6.330000000000000E-1,2.442587565013997E19
2.750000000000000E2,1.500000000000000E2,6.330000000000000E-1,2.922591015821367E19
2.750000000000000E2,1.750000000000000E2,6.330000000000000E-1,3.176040379838318E19
2.750000000000000E2,2.000000000000000E2,6.330000000000000E-1,3.915052988727825E19
2.750000000000000E2,2.250000000000000E2,6.330000000000000E-1,4.213884587963977E19
2.750000000000000E2,2.500000000000000E2,6.330000000000000E-1,5.202957647311851E19
2.750000000000000E2,2.750000000000000E2,6.330000000000000E-1,6.172052664350495E19
2.750000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.035312283589524E20
2.750000000000000E2,3.250000000000000E2,6.330000000000000E-1,2.763111701670218E20
2.750000000000000E2,3.500000000000000E2,6.330000000000000E-1,1.680669400127471E21
2.750000000000000E2,3.749999999999999E2,6.330000000000000E-1,7.015833012125277E17
2.750000000000000E2,4.000000000000000E2,6.330000000000000E-1,6.058645037084330E18
2.750000000000000E2,4.249999999999999E2,6.330000000000000E-1,1.073089216627957E19
2.750000000000000E2,4.500000000000000E2,6.330000000000000E-1,1.475496203343238E19
2.750000000000000E2,4.749999999999999E2,6.330000000000000E-1,2.033696905302770E19
2.750000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.983289796798999E19
2.750000000000000E2,5.250000000000000E2,6.330000000000000E-1,4.036753235444756E19
2.750000000000000E2,5.500000000000000E2,6.330000000000000E-1,7.821428610106938E19
2.750000000000000E2,5.749999999999999E2,6.330000000000000E-1,3.492989783746911E20
2.750000000000000E2,6.000000000000000E2,6.330000000000000E-1,6.694482156414222E19
2.750000000000000E2,6.250000000000000E2,6.330000000000000E-1,6.913300963235756E17
2.750000000000000E2,6.500000000000000E2,6.330000000000000E-1,2.494383098390281E18
2.750000000000000E2,6.749999999999999E2,6.330000000000000E-1,6.406479979635441E18
2.750000000000000E2,7.000000000000000E2,6.330000000000000E-1,9.960951235426284E18
3.000000000000000E2,0.000000000000000E0,6.330000000000000E-1,4.982438624814067E19
3.000000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.416041407947890E19
3.000000000000000E2,5.000000000000000E1,6.330000000000000E-1,3.588790198332998E19
3.000000000000000E2,7.500000000000000E1,6.330000000000000E-1,3.792739406894572E19
3.000000000000000E2,1.000000000000000E2,6.330000000000000E-1,3.934993284014991E19
3.000000000000000E2,1.250000000000000E2,6.330000000000000E-1,4.370254457201363E19
3.000000000000000E2,1.500000000000000E2,6.330000000000000E-1,5.503982868700445E19
3.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,6.366510405311654E19
3.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,7.133077155203418E19
3.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,9.874655757480962E19
3.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.480109073092450E20
3.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.486092818018814E20
3.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,8.082325497862588E20
3.000000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.779076684904976E21
3.000000000000000E2,3.500000000000000E2,6.330000000000000E-1,3.719571759784726E18
3.000000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.307811987066394E19
3.000000000000000E2,4.000000000000000E2,6.330000000000000E-1,1.460816849388440E19
3.000000000000000E2,4.249999999999999E2,6.330000000000000E-1,2.266042157583986E19
3.000000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.642735065771481E19
3.000000000000000E2,4.749999999999999E2,6.330000000000000E-1,6.660773507672842E19
3.000000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.255179253214298E20
3.000000000000000E2,5.250000000000000E2,6.330000000000000E-1,4.183380239142157E20
3.000000000000000E2,5.500000000000000E2,6.330000000000000E-1,4.631369560632586E21
3.000000000000000E2,5.749999999999999E2,6.330000000000000E-1,2.616006939900511E19
3.000000000000000E2,6.000000000000000E2,6.330000000000000E-1,6.288566610910283E18
3.000000000000000E2,6.250000000000000E2,6.330000000000000E-1,2.049045550741427E18
3.000000000000000E2,6.500000000000000E2,6.330000000000000E-1,3.854448313644386E18
3.000000000000000E2,6.749999999999999E2,6.330000000000000E-1,6.245207426549694E19
3.000000000000000E2,7.000000000000000E2,6.330000000000000E-1,2.901316193614978E19
